Country,City,Area,Bedrooms,Bathrooms,Price
Saudi Arabia,Riyadh,155,1,3,510294.04
Saudi Arabia,Riyadh,223,1,1,505152.36
Saudi Arabia,Riyadh,103,3,3,116079.07
Saudi Arabia,Riyadh,263,3,3,484935.45
Saudi Arabia,Riyadh,206,2,2,841784.1
Saudi Arabia,Riyadh,193,4,4,486135.35
Saudi Arabia,Riyadh,267,1,1,1017700.82
Saudi Arabia,Riyadh,152,2,4,130656.29
Saudi Arabia,Riyadh,273,4,1,548906.1
Saudi Arabia,Riyadh,159,4,4,581430.4
Saudi Arabia,Riyadh,262,3,3,913236.13
Saudi Arabia,Riyadh,165,1,1,1977874.09
Saudi Arabia,Riyadh,277,2,3,600612.9
Saudi Arabia,Riyadh,150,3,1,202406.1
Saudi Arabia,Riyadh,120,4,2,131206.84
Saudi Arabia,Riyadh,225,3,3,260688.28
Saudi Arabia,Riyadh,155,1,3,194496.16
Saudi Arabia,Riyadh,224,2,3,1016400.04
Saudi Arabia,Riyadh,195,4,2,564578.2
Saudi Arabia,Riyadh,246,4,2,701654.78
Saudi Arabia,Riyadh,103,4,3,791278.63
Saudi Arabia,Riyadh,258,4,1,1156972.31
Saudi Arabia,Riyadh,219,3,4,250579.83
Saudi Arabia,Riyadh,208,4,3,520444.96
Saudi Arabia,Riyadh,183,4,4,697593.09
Saudi Arabia,Riyadh,147,2,2,1728913.35
Saudi Arabia,Riyadh,149,1,4,329415.28
Saudi Arabia,Riyadh,128,2,2,1474804.03
Saudi Arabia,Riyadh,209,2,2,618110.61
Saudi Arabia,Riyadh,119,4,2,136735.28
Saudi Arabia,Riyadh,150,3,3,367653.99
Saudi Arabia,Riyadh,178,1,1,407057.4
Saudi Arabia,Riyadh,274,1,3,2856703.34
Saudi Arabia,Riyadh,162,1,2,373370.38
Saudi Arabia,Riyadh,168,1,3,620014.45
Saudi Arabia,Riyadh,230,2,3,546566.59
Saudi Arabia,Riyadh,165,4,4,320050.27
Saudi Arabia,Riyadh,227,2,3,397890.14
Saudi Arabia,Riyadh,159,4,1,162321.23
Saudi Arabia,Riyadh,226,1,1,348338.4
Saudi Arabia,Riyadh,198,4,3,1438733.53
Saudi Arabia,Riyadh,126,1,2,965911.47
Saudi Arabia,Riyadh,241,3,1,217228.57
Saudi Arabia,Riyadh,277,4,3,1090111.37
Saudi Arabia,Riyadh,141,2,2,1294022.64
Saudi Arabia,Riyadh,166,1,1,390085.79
Saudi Arabia,Riyadh,121,3,4,1101645.92
Saudi Arabia,Riyadh,219,4,1,720098.25
Saudi Arabia,Riyadh,215,4,4,436608.93
Saudi Arabia,Riyadh,236,4,1,354423.74
Saudi Arabia,Riyadh,271,2,4,285719.66
Saudi Arabia,Riyadh,284,3,3,1096247.17
Saudi Arabia,Riyadh,250,1,2,866758.29
Saudi Arabia,Riyadh,211,1,1,260328.29
Saudi Arabia,Riyadh,208,2,2,453024.1
Saudi Arabia,Riyadh,185,1,1,748289.37
Saudi Arabia,Riyadh,187,1,4,679056.35
Saudi Arabia,Riyadh,164,1,4,222215.84
Saudi Arabia,Riyadh,220,3,2,1666105.76
Saudi Arabia,Riyadh,202,2,2,1513451.52
Saudi Arabia,Riyadh,169,1,1,471711.18
Saudi Arabia,Riyadh,135,3,1,167144.91
Saudi Arabia,Riyadh,121,3,2,156540.76
Saudi Arabia,Riyadh,134,2,1,430112.66
Saudi Arabia,Riyadh,153,3,1,523477.59
Saudi Arabia,Riyadh,264,1,4,462254.83
Saudi Arabia,Riyadh,264,4,1,2730481.06
Saudi Arabia,Riyadh,232,3,2,751874.95
Saudi Arabia,Riyadh,135,4,1,237145.88
Saudi Arabia,Riyadh,141,2,4,652880.19
Saudi Arabia,Riyadh,160,3,4,520115.04
Saudi Arabia,Riyadh,184,2,4,742183.77
Saudi Arabia,Riyadh,96,4,4,188561.76
Saudi Arabia,Riyadh,131,1,3,157784.67
Saudi Arabia,Riyadh,200,4,2,207273.87
Saudi Arabia,Riyadh,106,2,3,366635.67
Saudi Arabia,Riyadh,153,1,1,258989.02
Saudi Arabia,Riyadh,122,4,2,1228780.59
Saudi Arabia,Riyadh,168,3,2,163693.11
Saudi Arabia,Riyadh,148,2,3,728365.57
Saudi Arabia,Riyadh,120,2,4,228209.29
Saudi Arabia,Riyadh,266,4,4,388358.08
Saudi Arabia,Riyadh,186,3,2,335462.51
Saudi Arabia,Riyadh,255,2,2,665407.9
Saudi Arabia,Riyadh,191,2,2,230680.39
Saudi Arabia,Riyadh,197,4,4,480537.81
Saudi Arabia,Riyadh,188,1,3,773316.6
Saudi Arabia,Riyadh,130,1,1,300303.71
Saudi Arabia,Riyadh,166,2,2,440997.89
Saudi Arabia,Riyadh,143,3,1,686029.74
Saudi Arabia,Riyadh,185,3,4,483028.87
Saudi Arabia,Riyadh,230,3,2,1117724.18
Saudi Arabia,Riyadh,265,3,4,2386883.75
Saudi Arabia,Riyadh,169,2,3,689730.74
Saudi Arabia,Riyadh,203,2,4,222818.02
Saudi Arabia,Riyadh,185,4,2,1883496.64
Saudi Arabia,Riyadh,118,2,4,904628.82
Saudi Arabia,Riyadh,234,1,3,846380.71
Saudi Arabia,Riyadh,243,2,1,541282.55
Saudi Arabia,Riyadh,211,4,4,269084.71
Saudi Arabia,Riyadh,180,4,2,356994.25
Saudi Arabia,Riyadh,224,3,2,211274.3
Saudi Arabia,Riyadh,256,4,1,268663.14
Saudi Arabia,Riyadh,182,2,2,724543.57
Saudi Arabia,Riyadh,190,1,2,200468.74
Saudi Arabia,Riyadh,230,3,1,430355.93
Saudi Arabia,Riyadh,98,3,4,180147.89
Saudi Arabia,Riyadh,119,4,2,198001.8
Saudi Arabia,Riyadh,191,1,2,1401745.41
Saudi Arabia,Riyadh,277,4,3,276372.99
Saudi Arabia,Riyadh,279,3,3,1205054.89
Saudi Arabia,Riyadh,136,1,2,511806.79
Saudi Arabia,Riyadh,249,3,2,451205.12
Saudi Arabia,Riyadh,140,1,2,203299.74
Saudi Arabia,Riyadh,238,4,4,598910.65
Saudi Arabia,Riyadh,99,3,4,387141.04
Saudi Arabia,Riyadh,166,2,1,548631.25
Saudi Arabia,Riyadh,91,4,4,448307.04
Saudi Arabia,Riyadh,110,2,1,1077442.33
Saudi Arabia,Riyadh,251,4,3,753018.21
Saudi Arabia,Riyadh,130,2,4,569565.34
Saudi Arabia,Riyadh,266,3,3,999942.86
Saudi Arabia,Riyadh,232,3,4,366343.78
Saudi Arabia,Riyadh,249,1,1,888252.24
Saudi Arabia,Riyadh,175,4,1,519240.4
Saudi Arabia,Riyadh,136,3,2,381149.05
Saudi Arabia,Riyadh,189,3,2,2027628.44
Saudi Arabia,Riyadh,203,1,2,1616502.42
Saudi Arabia,Riyadh,280,2,2,750008.37
Saudi Arabia,Riyadh,170,1,2,732814.14
Saudi Arabia,Riyadh,277,1,3,353448.81
Saudi Arabia,Riyadh,215,2,2,311671.67
Saudi Arabia,Riyadh,224,3,1,810660.4
Saudi Arabia,Riyadh,96,3,1,318815.8
Saudi Arabia,Riyadh,120,4,2,1009046.98
Saudi Arabia,Riyadh,236,3,4,375351.2
Saudi Arabia,Riyadh,166,3,2,196965.63
Saudi Arabia,Riyadh,177,1,4,699028.43
Saudi Arabia,Riyadh,249,2,4,293880.83
Saudi Arabia,Riyadh,215,2,2,452468.82
Saudi Arabia,Riyadh,275,2,1,955523.6
Saudi Arabia,Riyadh,220,2,2,363551.74
Saudi Arabia,Riyadh,152,4,3,154221.39
Saudi Arabia,Riyadh,204,2,1,2049886.18
Saudi Arabia,Riyadh,197,4,4,700480.98
Saudi Arabia,Riyadh,120,3,2,486128.76
Saudi Arabia,Riyadh,268,2,3,322650.78
Saudi Arabia,Riyadh,233,1,3,737606.75
Saudi Arabia,Riyadh,225,1,4,728316.59
Saudi Arabia,Riyadh,140,1,4,690899.47
Saudi Arabia,Riyadh,135,2,3,493197.05
Saudi Arabia,Riyadh,189,1,2,1451628.99
Saudi Arabia,Riyadh,105,3,4,442827.75
Saudi Arabia,Riyadh,269,2,4,852903.74
Saudi Arabia,Riyadh,140,4,3,158818.63
Saudi Arabia,Riyadh,198,1,4,2270586.87
Saudi Arabia,Riyadh,99,3,1,408422.82
Saudi Arabia,Riyadh,125,1,4,914719.96
Saudi Arabia,Riyadh,152,4,3,1378109.71
Saudi Arabia,Riyadh,198,1,1,213483.1
Saudi Arabia,Riyadh,203,3,3,627017.93
Saudi Arabia,Riyadh,284,4,2,976608.34
Saudi Arabia,Riyadh,252,2,4,1123050.05
Saudi Arabia,Riyadh,244,1,3,325362.83
Saudi Arabia,Riyadh,259,2,3,1040697.98
Saudi Arabia,Riyadh,227,4,3,869234.3
Saudi Arabia,Riyadh,254,3,1,580758.84
Saudi Arabia,Riyadh,274,3,2,1008398.01
Saudi Arabia,Riyadh,282,2,2,515128.37
Saudi Arabia,Riyadh,275,3,3,1004945.7
Saudi Arabia,Riyadh,268,1,4,1057712.27
Saudi Arabia,Riyadh,182,2,3,577331.28
Saudi Arabia,Riyadh,254,3,2,915925.69
Saudi Arabia,Riyadh,111,3,1,155269.12
Saudi Arabia,Riyadh,113,4,1,520653.44
Saudi Arabia,Riyadh,178,4,3,1348733.41
Saudi Arabia,Riyadh,107,3,4,1281339.05
Saudi Arabia,Riyadh,153,2,4,136790.81
Saudi Arabia,Riyadh,131,3,4,243825.6
Saudi Arabia,Riyadh,203,4,4,734543.37
Saudi Arabia,Riyadh,158,4,2,191514.39
Saudi Arabia,Riyadh,255,4,2,1172011.19
Saudi Arabia,Riyadh,97,4,3,420616.41
Saudi Arabia,Riyadh,237,3,4,311293.99
Saudi Arabia,Riyadh,189,1,1,629267.78
Saudi Arabia,Riyadh,281,2,2,2193736.03
Saudi Arabia,Riyadh,162,4,2,395309.62
Saudi Arabia,Riyadh,163,2,4,800209.53
Saudi Arabia,Riyadh,112,3,3,121416.38
Saudi Arabia,Riyadh,241,3,1,624643.56
Saudi Arabia,Riyadh,199,4,2,685975.43
Saudi Arabia,Riyadh,121,1,1,122631.44
Saudi Arabia,Riyadh,111,2,3,942516.29
Saudi Arabia,Riyadh,266,2,2,2309392.1
Saudi Arabia,Riyadh,97,4,2,849145.46
Saudi Arabia,Riyadh,121,3,1,172896.35
Saudi Arabia,Riyadh,246,2,3,456017.24
Saudi Arabia,Riyadh,139,1,1,157626.02
Saudi Arabia,Riyadh,250,4,1,499972.06
Saudi Arabia,Riyadh,154,2,1,1351802.06
Saudi Arabia,Riyadh,161,1,2,742230.07
Saudi Arabia,Riyadh,121,4,4,976422.95
Saudi Arabia,Riyadh,246,1,4,257683.7
Saudi Arabia,Riyadh,124,4,4,145925.1
Saudi Arabia,Riyadh,182,4,3,307397.6
Saudi Arabia,Riyadh,176,2,1,248145.63
Saudi Arabia,Riyadh,148,3,4,203121.81
Saudi Arabia,Riyadh,173,2,3,1509749.56
Saudi Arabia,Riyadh,115,2,3,122941.14
Saudi Arabia,Riyadh,244,4,2,259799.09
Saudi Arabia,Riyadh,159,1,2,786477.59
Saudi Arabia,Riyadh,172,2,4,658341.17
Saudi Arabia,Riyadh,101,1,2,129372.13
Saudi Arabia,Riyadh,100,1,2,109613.56
Saudi Arabia,Riyadh,197,1,4,226755.96
Saudi Arabia,Riyadh,221,4,1,2587116.34
Saudi Arabia,Riyadh,181,2,2,1747782.48
Saudi Arabia,Riyadh,216,1,3,378681.52
Saudi Arabia,Riyadh,134,1,1,496908.64
Saudi Arabia,Riyadh,176,4,2,154282.93
Saudi Arabia,Riyadh,110,1,4,125583.68
Saudi Arabia,Riyadh,127,1,3,186210.4
Saudi Arabia,Riyadh,244,4,2,205416.3
Saudi Arabia,Riyadh,166,1,4,451311.72
Saudi Arabia,Riyadh,109,3,4,784360.8
Saudi Arabia,Riyadh,126,2,4,145543.08
Saudi Arabia,Riyadh,168,1,3,684049.92
Saudi Arabia,Riyadh,114,1,3,107926.13
Saudi Arabia,Riyadh,89,4,2,282004.18
Saudi Arabia,Riyadh,158,3,1,396680.98
Saudi Arabia,Riyadh,199,3,3,253933.77
Saudi Arabia,Riyadh,136,4,1,138052.65
Saudi Arabia,Riyadh,207,3,2,841097.62
Saudi Arabia,Riyadh,112,2,3,1142913.27
Saudi Arabia,Riyadh,250,1,4,972080.85
Saudi Arabia,Riyadh,130,4,2,435967.45
Saudi Arabia,Riyadh,122,1,2,374926.91
Saudi Arabia,Riyadh,122,3,4,385741.53
Saudi Arabia,Riyadh,166,3,3,1964435.87
Saudi Arabia,Riyadh,206,2,4,1739520.99
Saudi Arabia,Riyadh,193,1,1,275215.4
Saudi Arabia,Riyadh,261,3,1,796138.83
Saudi Arabia,Riyadh,157,1,2,545056.42
Saudi Arabia,Riyadh,111,2,4,1218137.48
Saudi Arabia,Riyadh,95,1,2,77112.35
Saudi Arabia,Riyadh,265,4,2,385330.19
Saudi Arabia,Riyadh,132,2,2,144820.25
Saudi Arabia,Riyadh,225,4,1,459496.01
Saudi Arabia,Riyadh,228,1,2,2260910.63
Saudi Arabia,Riyadh,156,4,2,1618702.75
Saudi Arabia,Riyadh,266,2,4,310974.87
Saudi Arabia,Riyadh,188,4,1,602694.87
Saudi Arabia,Riyadh,172,3,2,553547.98
Saudi Arabia,Riyadh,264,3,3,1275681.49
Saudi Arabia,Riyadh,167,1,4,646648.84
Saudi Arabia,Riyadh,249,3,2,393572.54
Saudi Arabia,Riyadh,109,1,1,120919.92
Saudi Arabia,Riyadh,238,4,4,2825259.52
Saudi Arabia,Riyadh,269,4,2,1268945.73
Saudi Arabia,Riyadh,97,2,2,176386.56
Saudi Arabia,Riyadh,107,4,3,195728.74
Saudi Arabia,Riyadh,278,2,4,591607
Saudi Arabia,Riyadh,265,1,1,2605805.3
Saudi Arabia,Riyadh,186,2,1,573990.19
Saudi Arabia,Riyadh,140,4,3,445379.63
Saudi Arabia,Riyadh,178,3,2,292607.07
Saudi Arabia,Riyadh,181,4,2,1559108.66
Saudi Arabia,Riyadh,96,1,2,133042.36
Saudi Arabia,Riyadh,229,4,2,235553.5
Saudi Arabia,Riyadh,108,1,4,342405.56
Saudi Arabia,Riyadh,180,3,4,219247.65
Saudi Arabia,Riyadh,168,2,4,162876.68
Saudi Arabia,Riyadh,115,2,4,201304.23
Saudi Arabia,Riyadh,170,4,2,745902.45
Saudi Arabia,Riyadh,120,3,3,132546.02
Saudi Arabia,Riyadh,240,3,4,328639.19
Saudi Arabia,Riyadh,102,4,4,119643.54
Saudi Arabia,Riyadh,155,4,3,422525.52
Saudi Arabia,Riyadh,238,3,2,918814.94
Saudi Arabia,Riyadh,174,2,4,781315.22
Saudi Arabia,Riyadh,189,1,2,610456.85
Saudi Arabia,Riyadh,209,3,1,1469886.27
Saudi Arabia,Riyadh,192,4,3,696950.6
Saudi Arabia,Riyadh,229,3,1,323414.79
Saudi Arabia,Riyadh,107,3,4,298013.48
Saudi Arabia,Riyadh,137,2,1,350296.06
Saudi Arabia,Riyadh,139,2,3,364773.9
Saudi Arabia,Riyadh,154,2,3,207952.39
Saudi Arabia,Riyadh,142,1,1,162177.66
Saudi Arabia,Riyadh,273,2,1,1013420.91
Saudi Arabia,Riyadh,108,3,3,179893.86
Saudi Arabia,Riyadh,102,1,1,945248.14
Saudi Arabia,Riyadh,180,3,2,266178.71
Saudi Arabia,Riyadh,188,4,4,702721.5
Saudi Arabia,Riyadh,127,3,1,365951.61
Saudi Arabia,Riyadh,148,3,3,1464492.48
Saudi Arabia,Riyadh,173,4,3,1349833.2
Saudi Arabia,Riyadh,149,2,4,389486.67
Saudi Arabia,Riyadh,145,2,2,347323.56
Saudi Arabia,Riyadh,129,1,1,556856.72
Saudi Arabia,Riyadh,139,3,3,556158.2
Saudi Arabia,Riyadh,224,1,2,842044.21
Saudi Arabia,Riyadh,109,4,4,104033.73
Saudi Arabia,Riyadh,194,4,3,456068.65
Saudi Arabia,Riyadh,220,1,3,1008970.55
Saudi Arabia,Riyadh,112,4,2,374359.42
Saudi Arabia,Riyadh,148,1,2,506480.01
Saudi Arabia,Riyadh,133,3,2,1049642.9
Saudi Arabia,Riyadh,102,1,4,260672.84
Saudi Arabia,Riyadh,188,1,1,2227735.48
Saudi Arabia,Riyadh,283,1,1,316508.28
Saudi Arabia,Riyadh,90,2,1,347969.48
Saudi Arabia,Riyadh,100,3,2,318260.55
Saudi Arabia,Riyadh,231,2,2,314306.97
Saudi Arabia,Riyadh,173,2,1,494030.73
Saudi Arabia,Riyadh,219,3,2,242606.7
Saudi Arabia,Riyadh,116,1,3,418787.84
Saudi Arabia,Riyadh,189,1,4,643439.6
Saudi Arabia,Riyadh,161,1,3,375940.76
Saudi Arabia,Riyadh,193,1,2,358253.75
Saudi Arabia,Riyadh,157,1,1,148182.55
Saudi Arabia,Riyadh,280,1,3,1105944.15
Saudi Arabia,Riyadh,173,4,1,279175.36
Saudi Arabia,Riyadh,98,1,3,368283.59
Saudi Arabia,Riyadh,97,2,1,406382.3
Saudi Arabia,Riyadh,221,3,2,217872.37
Saudi Arabia,Riyadh,193,2,3,608277.54
Saudi Arabia,Riyadh,102,2,3,108257.78
Saudi Arabia,Riyadh,227,1,2,2485471.93
Saudi Arabia,Riyadh,97,4,4,398291.75
Saudi Arabia,Riyadh,207,4,4,1863305.58
Saudi Arabia,Riyadh,143,1,1,424071.13
Saudi Arabia,Riyadh,209,2,3,226034.15
Saudi Arabia,Riyadh,218,4,4,1938684.38
Saudi Arabia,Riyadh,236,4,1,974242.6
Saudi Arabia,Riyadh,91,3,2,201702.4
Saudi Arabia,Riyadh,207,4,3,995373.62
Saudi Arabia,Riyadh,107,1,3,396936.46
Saudi Arabia,Riyadh,234,3,4,840999.14
Saudi Arabia,Riyadh,108,1,4,434276.98
Saudi Arabia,Riyadh,254,1,1,354063.26
Saudi Arabia,Riyadh,99,1,3,470935.41
Saudi Arabia,Riyadh,151,2,3,522490.42
Saudi Arabia,Riyadh,150,4,2,588998.58
Saudi Arabia,Riyadh,94,3,4,434606.72
Saudi Arabia,Riyadh,148,2,2,150363.75
Saudi Arabia,Riyadh,274,4,1,1176486.19
Saudi Arabia,Riyadh,142,1,4,194680.1
Saudi Arabia,Riyadh,139,4,4,217848.6
Saudi Arabia,Riyadh,123,2,4,154552.97
Saudi Arabia,Riyadh,198,2,3,494996.27
Saudi Arabia,Riyadh,133,3,4,189396.41
Saudi Arabia,Riyadh,270,2,2,733870.69
Saudi Arabia,Riyadh,179,2,4,167512.62
Saudi Arabia,Riyadh,271,4,2,2328397.57
Saudi Arabia,Riyadh,264,3,1,489449.21
Saudi Arabia,Riyadh,138,2,2,652352.59
Saudi Arabia,Riyadh,96,2,3,374118.98
Saudi Arabia,Riyadh,232,2,3,743709.65
Saudi Arabia,Riyadh,108,1,2,131054.52
Saudi Arabia,Riyadh,134,2,2,429361.03
Saudi Arabia,Riyadh,123,3,4,127739.5
Saudi Arabia,Riyadh,142,1,1,1618688.64
Saudi Arabia,Riyadh,278,1,2,3198076.17
Saudi Arabia,Riyadh,160,4,2,551433.99
Saudi Arabia,Riyadh,241,4,4,453720.87
Saudi Arabia,Riyadh,171,2,2,137602.91
Saudi Arabia,Riyadh,139,4,3,649361.43
Saudi Arabia,Riyadh,268,1,3,1012686.68
Saudi Arabia,Riyadh,191,2,1,250311.17
Saudi Arabia,Riyadh,175,4,2,169212.79
Saudi Arabia,Riyadh,127,2,3,1273477.79
Saudi Arabia,Riyadh,281,4,2,631564.92
Saudi Arabia,Riyadh,109,1,4,171789.39
Saudi Arabia,Riyadh,174,3,3,631221.61
Saudi Arabia,Riyadh,230,4,2,2310035.6
Saudi Arabia,Riyadh,270,3,1,869114.06
Saudi Arabia,Riyadh,217,2,3,472795.41
Saudi Arabia,Riyadh,180,3,4,212989.49
Saudi Arabia,Riyadh,262,1,2,819501.51
Saudi Arabia,Riyadh,169,4,1,1424687.83
Saudi Arabia,Riyadh,199,3,2,776904.98
Saudi Arabia,Riyadh,258,1,3,220361.77
Saudi Arabia,Riyadh,127,2,3,228539.37
Saudi Arabia,Riyadh,281,1,2,364363.73
Saudi Arabia,Riyadh,255,4,2,2132057.33
Saudi Arabia,Riyadh,213,3,4,913123.89
Saudi Arabia,Riyadh,140,3,3,1130773.06
Saudi Arabia,Riyadh,163,1,4,164363.59
Saudi Arabia,Riyadh,140,4,4,359543.62
Saudi Arabia,Riyadh,200,1,2,906568.24
Saudi Arabia,Riyadh,148,2,3,717856.66
Saudi Arabia,Riyadh,224,4,1,447732.64
Saudi Arabia,Riyadh,161,1,1,150033.18
Saudi Arabia,Riyadh,180,4,2,225346.79
Saudi Arabia,Riyadh,168,4,1,191364.04
Saudi Arabia,Riyadh,173,1,2,1270575.52
Saudi Arabia,Riyadh,106,3,4,884286.72
Saudi Arabia,Riyadh,170,2,2,842598.15
Saudi Arabia,Riyadh,163,2,4,263844.85
Saudi Arabia,Riyadh,110,1,1,318263.25
Saudi Arabia,Riyadh,235,4,3,941903.98
Saudi Arabia,Riyadh,238,4,2,1969414.9
Saudi Arabia,Riyadh,132,2,3,190918.45
Saudi Arabia,Riyadh,171,3,4,173580.57
Saudi Arabia,Riyadh,228,3,2,548900.52
Saudi Arabia,Riyadh,166,1,2,492312.12
Saudi Arabia,Riyadh,93,3,1,986416.79
Saudi Arabia,Riyadh,258,3,1,2229831.46
Saudi Arabia,Riyadh,154,1,4,566014.21
Saudi Arabia,Riyadh,89,2,4,106710.49
Saudi Arabia,Riyadh,131,4,4,479738.15
Saudi Arabia,Riyadh,216,4,1,1904822.01
Saudi Arabia,Riyadh,149,2,3,246932.17
Saudi Arabia,Riyadh,209,3,4,245516.54
Saudi Arabia,Riyadh,268,2,4,1018753.38
Saudi Arabia,Riyadh,228,3,4,241419.01
Saudi Arabia,Riyadh,280,1,2,526416.51
Saudi Arabia,Riyadh,138,4,1,497407.05
Saudi Arabia,Riyadh,239,3,2,236736.9
Saudi Arabia,Riyadh,95,2,4,83116.22
Saudi Arabia,Riyadh,235,1,2,1707358.65
Saudi Arabia,Riyadh,185,2,1,624087.67
Saudi Arabia,Riyadh,201,2,3,2116666.69
Saudi Arabia,Riyadh,281,1,2,842529.81
Saudi Arabia,Riyadh,93,4,3,132654.62
Saudi Arabia,Riyadh,207,4,4,1594923.15
Saudi Arabia,Riyadh,236,3,3,951723.66
Saudi Arabia,Riyadh,246,4,3,1161524.04
Saudi Arabia,Riyadh,273,4,2,904270.82
Saudi Arabia,Riyadh,260,1,2,2770781.32
Saudi Arabia,Riyadh,170,3,2,703498.62
Saudi Arabia,Riyadh,140,2,2,198576.41
Saudi Arabia,Riyadh,94,3,3,417598.46
Saudi Arabia,Riyadh,170,1,2,623138.11
Saudi Arabia,Riyadh,156,4,1,158407.73
Saudi Arabia,Riyadh,191,4,3,855723.51
Saudi Arabia,Riyadh,167,1,3,1361124.75
Saudi Arabia,Riyadh,221,3,2,709431.57
Saudi Arabia,Riyadh,250,4,1,1159115.31
Saudi Arabia,Riyadh,191,4,1,1734117.93
Saudi Arabia,Riyadh,126,2,2,1069527.18
Saudi Arabia,Riyadh,281,4,4,291463.93
Saudi Arabia,Riyadh,150,1,1,190536.92
Saudi Arabia,Riyadh,259,1,4,387509.49
Saudi Arabia,Riyadh,263,4,2,1112011.17
Saudi Arabia,Riyadh,130,2,4,606739.27
Saudi Arabia,Riyadh,193,2,1,1353352.33
Saudi Arabia,Riyadh,239,4,2,316917.9
Saudi Arabia,Riyadh,180,1,1,563245.99
Saudi Arabia,Riyadh,227,3,2,2568252.21
Saudi Arabia,Riyadh,264,4,2,726928.47
Saudi Arabia,Riyadh,148,2,4,1225000.12
Saudi Arabia,Riyadh,252,2,4,578651.29
Saudi Arabia,Riyadh,189,3,3,1727162.71
Saudi Arabia,Riyadh,199,2,3,592944.46
Saudi Arabia,Riyadh,254,2,2,2902619.98
Saudi Arabia,Riyadh,95,4,1,428272.18
Saudi Arabia,Riyadh,102,4,2,881601.02
Saudi Arabia,Riyadh,263,4,1,541441.01
Saudi Arabia,Riyadh,203,3,2,1010959.46
Saudi Arabia,Riyadh,190,1,1,607351.79
Saudi Arabia,Riyadh,121,2,3,389822.12
Saudi Arabia,Riyadh,184,2,4,496828.39
